,date,pm25,no2,so2,co
266,2021-04-01,33.0,2.0,,2.0
267,2021-04-02,11.0,9.0,2.0,2.0
268,2021-04-03,32.0,6.0,,2.0
269,2021-04-04,31.0,6.0,1.0,2.0
270,2021-04-05,32.0,6.0,5.0,3.0
271,2021-04-06,33.0,4.0,1.0,3.0
272,2021-04-07,30.0,1.0,,2.0
273,2021-04-08,14.0,7.0,1.0,3.0
274,2021-04-09,25.0,4.0,,2.0
275,2021-04-10,25.0,7.0,7.0,3.0
276,2021-04-11,33.0,6.0,4.0,2.0
277,2021-04-12,39.0,6.0,1.0,3.0
278,2021-04-13,28.0,6.0,3.0,3.0
279,2021-04-14,35.0,8.0,9.0,3.0
280,2021-04-15,43.0,5.0,5.0,3.0
281,2021-04-16,37.0,5.0,1.0,3.0
282,2021-04-17,26.0,6.0,1.0,3.0
283,2021-04-18,25.0,4.0,1.0,3.0
284,2021-04-19,26.0,10.0,1.0,3.0
285,2021-04-20,30.0,4.0,4.0,2.0
286,2021-04-21,35.0,2.0,2.0,1.0
287,2021-04-22,14.0,4.0,3.0,1.0
288,2021-04-23,17.0,2.0,1.0,1.0
289,2021-04-24,14.0,3.0,2.0,1.0
290,2021-04-25,20.0,3.0,2.0,1.0
291,2021-04-26,21.0,2.0,5.0,1.0
292,2021-04-27,19.0,4.0,,1.0
293,2021-04-28,15.0,4.0,6.0,1.0
294,2021-04-29,17.0,4.0,,1.0
295,2021-04-30,11.0,1.0,1.0,1.0
296,2021-05-01,8.0,1.0,,1.0
297,2021-05-02,15.0,3.0,,1.0
298,2021-05-03,15.0,3.0,2.0,1.0
299,2021-05-04,21.0,4.0,4.0,1.0
300,2021-05-05,26.0,2.0,,1.0
301,2021-05-06,13.0,1.0,,1.0
302,2021-05-07,13.0,3.0,,1.0
303,2021-05-08,19.0,3.0,,1.0
304,2021-05-09,23.0,4.0,,1.0
305,2021-05-10,24.0,3.0,6.0,1.0
306,2021-05-11,19.0,3.0,1.0,1.0
307,2021-05-12,18.0,2.0,6.0,1.0
308,2021-05-13,22.0,4.0,1.0,1.0
309,2021-05-14,25.0,2.0,4.0,1.0
310,2021-05-15,19.0,2.0,,1.0
311,2021-05-16,11.0,2.0,4.0,2.0
312,2021-05-17,15.0,1.0,,1.0
313,2021-05-18,10.0,1.0,2.0,2.0
314,2021-05-19,17.0,5.0,,1.0
315,2021-05-20,22.0,2.0,,1.0
316,2021-05-21,18.0,3.0,1.0,1.0
317,2021-05-22,17.0,3.0,1.0,2.0
318,2021-05-23,23.0,3.0,1.0,1.0
319,2021-05-24,47.0,2.0,1.0,1.0
320,2021-05-25,19.0,2.0,,1.0
321,2021-05-26,18.0,3.0,1.0,2.0
322,2021-05-27,25.0,3.0,1.0,2.0
323,2021-05-28,25.0,2.0,4.0,1.0
