,date,pm25,no2,so2,co
1957,2016-04-01,14,3.0,5.0,3
1958,2016-04-02,15,4.0,4.0,3
1959,2016-04-03,17,4.0,,3
1960,2016-04-04,16,5.0,1.0,3
1961,2016-04-05,19,4.0,3.0,3
1962,2016-04-06,18,3.0,1.0,4
1963,2016-04-07,15,2.0,,4
1964,2016-04-08,13,3.0,2.0,4
1965,2016-04-09,13,3.0,3.0,4
1966,2016-04-10,19,6.0,,4
1967,2016-04-11,21,5.0,3.0,4
1968,2016-04-12,23,4.0,,4
1969,2016-04-13,21,3.0,1.0,4
1970,2016-04-14,15,3.0,,4
1971,2016-04-15,11,4.0,,4
1972,2016-04-16,13,4.0,,4
1973,2016-04-17,18,3.0,,4
1974,2016-04-18,17,2.0,,4
1975,2016-04-19,18,2.0,2.0,4
1976,2016-04-20,13,2.0,,4
1977,2016-04-21,15,4.0,,2
1978,2016-04-22,14,2.0,,1
1979,2016-04-23,16,2.0,,1
1980,2016-04-24,28,2.0,,1
1981,2016-04-25,19,4.0,,1
1982,2016-04-26,20,3.0,3.0,1
1983,2016-04-27,16,4.0,,1
1984,2016-04-28,26,3.0,,1
1985,2016-04-29,26,5.0,1.0,2
1986,2016-04-30,22,5.0,,2
1987,2016-05-01,15,6.0,,7
1988,2016-05-02,111,8.0,6.0,17
1989,2016-05-03,150,19.0,20.0,71
1990,2016-05-04,578,2.0,6.0,7
1991,2016-05-05,129,8.0,4.0,41
1992,2016-05-06,363,16.0,3.0,88
1993,2016-05-07,673,4.0,2.0,16
1994,2016-05-08,194,4.0,1.0,2
1995,2016-05-09,19,1.0,,11
1996,2016-05-10,79,3.0,,4
1997,2016-05-11,51,1.0,,3
1998,2016-05-12,37,5.0,1.0,33
1999,2016-05-13,305,7.0,1.0,47
2000,2016-05-14,443,8.0,1.0,60
2001,2016-05-15,497,7.0,1.0,44
2002,2016-05-16,414,7.0,2.0,26
2003,2016-05-17,285,6.0,1.0,26
2004,2016-05-18,267,1.0,,3
2005,2016-05-19,57,4.0,1.0,5
2006,2016-05-20,131,1.0,,5
2007,2016-05-21,87,,,2
2008,2016-05-22,29,2.0,1.0,5
2009,2016-05-23,94,2.0,,10
2010,2016-05-24,105,2.0,,11
2011,2016-05-25,146,1.0,,4
2012,2016-05-26,59,1.0,,4
2013,2016-05-27,55,1.0,,3
2014,2016-05-28,39,1.0,,3
2015,2016-05-29,27,1.0,3.0,3
2016,2016-05-30,33,2.0,1.0,3
2017,2016-05-31,22,2.0,,3
2018,2016-06-01,33,2.0,,3
2019,2016-06-02,32,1.0,5.0,1
2020,2016-06-03,11,2.0,2.0,1
2021,2016-06-04,13,2.0,2.0,1
2022,2016-06-05,20,1.0,1.0,2
2023,2016-06-06,20,1.0,7.0,1
2024,2016-06-07,26,5.0,3.0,2
2025,2016-06-08,70,1.0,,2
2026,2016-06-09,26,2.0,4.0,2
2027,2016-06-10,21,2.0,,2
2028,2016-06-11,32,1.0,,2
2029,2016-06-12,16,1.0,,2
2030,2016-06-13,9,3.0,,2
2031,2016-06-14,23,1.0,,2
2032,2016-06-15,16,1.0,,2
2033,2016-06-16,11,1.0,,2
2034,2016-06-17,13,1.0,2.0,2
2035,2016-06-18,12,1.0,4.0,2
2036,2016-06-19,17,3.0,5.0,2
2037,2016-06-20,19,3.0,,2
2038,2016-06-21,32,2.0,,2
2039,2016-06-22,17,2.0,6.0,3
2040,2016-06-23,41,4.0,2.0,3
2041,2016-06-24,46,2.0,6.0,3
2042,2016-06-25,40,2.0,1.0,3
2043,2016-06-26,47,2.0,,3
2044,2016-06-27,24,3.0,8.0,3
2045,2016-06-28,27,1.0,,3
2046,2016-06-29,31,1.0,,3
