,date,pm25,no2,so2,co
1987,2016-05-01,15,6.0,,7
1988,2016-05-02,111,8.0,6.0,17
1989,2016-05-03,150,19.0,20.0,71
1990,2016-05-04,578,2.0,6.0,7
1991,2016-05-05,129,8.0,4.0,41
1992,2016-05-06,363,16.0,3.0,88
1993,2016-05-07,673,4.0,2.0,16
1994,2016-05-08,194,4.0,1.0,2
1995,2016-05-09,19,1.0,,11
1996,2016-05-10,79,3.0,,4
1997,2016-05-11,51,1.0,,3
1998,2016-05-12,37,5.0,1.0,33
1999,2016-05-13,305,7.0,1.0,47
2000,2016-05-14,443,8.0,1.0,60
2001,2016-05-15,497,7.0,1.0,44
2002,2016-05-16,414,7.0,2.0,26
2003,2016-05-17,285,6.0,1.0,26
2004,2016-05-18,267,1.0,,3
2005,2016-05-19,57,4.0,1.0,5
2006,2016-05-20,131,1.0,,5
2007,2016-05-21,87,,,2
2008,2016-05-22,29,2.0,1.0,5
2009,2016-05-23,94,2.0,,10
2010,2016-05-24,105,2.0,,11
2011,2016-05-25,146,1.0,,4
2012,2016-05-26,59,1.0,,4
2013,2016-05-27,55,1.0,,3
2014,2016-05-28,39,1.0,,3
2015,2016-05-29,27,1.0,3.0,3
2016,2016-05-30,33,2.0,1.0,3
2017,2016-05-31,22,2.0,,3
