date, pm25, o3, no2, so2, co
2022/3/2, 27, , 14, 1, 2
2022/3/3, 40, , 11, 1, 2
2022/3/4, 24, , 7, 1, 2
2022/3/5, 17, , 10, 2, 2
2022/3/6, 23, , 8, 1, 2
2022/3/7, 21, , 2, 2, 2
2022/3/8, 18, , 3, 2, 1
2022/3/9, 20, , 5, , 1
2022/3/10, 18, , 5, 3, 2
2022/3/11, 39, , 9, , 1
2022/3/12, 25, , 6, 4, 1
2022/3/13, 23, , 8, 3, 1
2022/3/14, 25, , 5, , 1
2022/3/15, 13, , 16, 2, 2
2022/3/16, 44, , 24, 9, 3
2022/3/17, 65, , 14, 1, 3
2022/3/18, 28, , 12, , 2
2022/3/19, 23, , 10, , 2
2022/3/20, 26, , 6, , 2
2022/3/21, 13, , 6, , 2
2022/3/22, 12, , 13, , 3
2022/3/23, 19, , 10, , 2
2022/3/24, 17, , , , 
2022/2/2, 15, , 13, 1, 3
2022/2/3, 29, , 12, 6, 2
2022/2/4, 25, , 8, 1, 2
2022/2/5, 19, , 7, 1, 1
2022/2/6, 18, , 8, 1, 2
2022/2/7, 19, , 10, 1, 2
2022/2/8, 13, , 8, 4, 2
2022/2/9, 25, , 21, 5, 2
2022/2/10, 41, , 5, 1, 2
2022/2/11, 16, , 11, 1, 2
2022/2/12, 19, , 9, 5, 2
2022/2/13, 18, , 10, 5, 2
2022/2/14, 17, , 11, 1, 2
2022/2/15, 17, , 5, 2, 2
2022/2/16, 13, , 12, 5, 2
2022/2/17, 22, , 8, 2, 2
2022/2/18, 15, , 9, 1, 2
2022/2/19, 15, , 7, 3, 2
2022/2/20, 25, , 12, 15, 2
2022/2/21, 36, , 12, 1, 2
2022/2/22, 31, , 18, 1, 2
2022/2/23, 25, , 10, 1, 2
2022/2/24, 30, , 18, 3, 3
2022/2/25, 48, , 15, 1, 2
2022/2/26, 18, , 8, 1, 2
2022/2/27, 26, , 9, 2, 
2022/2/28, 27, , 19, 7, 2
2022/3/1, 38, , 12, 4, 2
2022/1/4, 20, , 11, 5, 1
2022/1/5, 34, , 11, 3, 1
2022/1/6, 27, , 14, 1, 2
2022/1/7, 26, , 17, 1, 2
2022/1/8, 38, , 10, 1, 1
2022/1/9, 36, , 14, 1, 2
2022/1/10, 40, , 11, 1, 2
2022/1/11, 26, , 10, 1, 1
2022/1/12, 22, , 18, 1, 2
2022/1/13, 40, , 23, 5, 2
2022/1/14, 78, , 12, 2, 2
2022/1/15, 38, , 7, 1, 2
2022/1/16, 20, , 7, 3, 2
2022/1/17, 14, , 2, 1, 2
2022/1/18, 14, , 13, 1, 2
2022/1/19, 20, , 10, 1, 2
2022/1/20, 19, , 11, 2, 2
2022/1/21, 30, , 9, 1, 2
2022/1/22, 15, , 10, 1, 2
2022/1/23, 15, , 8, 2, 2
2022/1/24, 15, , 16, 1, 3
2022/1/25, 19, , 7, 1, 2
2022/1/26, 12, , 1, 2, 2
2022/1/27, 5, , 7, 1, 2
2022/1/28, 13, , 12, , 3
2022/1/29, 21, , 9, , 2
2022/1/30, 20, , 10, 6, 2
2022/1/31, 19, , 3, 2, 3
2022/2/1, 17, , 1, 1, 2
2021/10/1, 17, , 6, 1, 3
2021/10/2, 19, , 7, , 3
2021/10/3, 12, , 5, , 3
2021/10/4, 9, , 5, , 3
2021/10/5, 22, , 10, 6, 3
2021/10/6, 32, , 7, 1, 4
2021/10/7, 24, , 7, , 2
2021/10/8, 24, , 7, , 1
2021/10/9, 20, , 5, 2, 1
2021/10/10, 14, , 5, 9, 1
2021/10/11, 22, , 4, 2, 1
2021/10/12, 13, , 6, 1, 1
2021/10/13, 13, , 8, , 2
2021/10/14, 21, , 10, , 2
2021/10/15, 19, , 7, , 2
2021/10/16, 19, , 8, 7, 2
2021/10/17, 24, , 4, 1, 2
2021/10/18, 17, , 4, 1, 1
2021/10/19, 14, , 3, , 
2021/10/20, 14, , 3, , 
