,name,country,area,area_type,region_of_interest,year,area_hectares,date_start,date_end,gee_coordinates,map_coordinates,crs,Description
0,taylor complex fire,USA,taylor complex,,alaska,2004.0,528128,15/06/2004,11/09/2004,"[[-145.008544921875,62.451405884537564],[-139.921875,62.451405884537564],[-139.921875,64.5389958071547],[-145.008544921875,64.5389958071547],[-145.008544921875,62.451405884537564]]","[63.597447665602004,-141.778564453125]",EPSG:32612,
1,quebec wildfires,Canada,la tuque,city,quebec,2010.0,90000,01/05/2010,31/06/2010,"[[-73.4051513671875,47.017716353979225],[-72.037353515625,47.017716353979225],[-72.037353515625,47.83528342275264],[-73.4051513671875,47.83528342275264],[-73.4051513671875,47.017716353979225]]","[47.42065432071318,-72.7789306640625]",EPSG:32612,
2,binta lake fire,Canada,binta lake,lake,british columbia,2010.0,98842,28/07/2010,31/08/2010,"[[-73.67431640625,46.9052455464292],[-72.0098876953125,46.9052455464292],[-72.0098876953125,47.98624517426206],[-73.67431640625,47.98624517426206],[-73.67431640625,46.9052455464292]]","[47.416937456635445,-72.8173828125,]",EPSG:32612,
3,2010 russian wildfires,Russia,"nizhny novgorod oblast, voronezh oblast, moscow oblast, ryazan oblast, vyksa, ivanovo, vladimir, yaroslavl, tver, yekaterinburg",city,russia,2010.0,300000,27/07/2010,02/09/2010,,,EPSG:32612,
4,richardson fire,Canada,richardson backcountry,,alberta,2011.0,700000,15/05/2011,01/09/2011,"[[-112.8076171875,57.1302771818769],[-110.0994873046875,57.1302771818769],[-110.0994873046875,58.496564389069675],[-112.8076171875,58.496564389069675],[-112.8076171875,57.1302771818769]]","[57.88273703534323,-111.3189697265625]",EPSG:32612,
5,Quebec fire,Canada,,,quebec,2013.0,617763,22/06/2013,08/07/2013,,,EPSG:32612,
6,2014 northwest territories fires,Canada,,,northwest territories,2014.0,3400000,03/07/2014,18/09/2014,"[[-133.9453125,58.99531118795094],[-101.337890625,58.99531118795094],[-101.337890625,69.90011762668541],[-133.9453125,69.90011762668541],[-133.9453125,58.99531118795094]]","[63.82128765261384,-121.37695312499999]",EPSG:32612,
7,2015 russian wildfires,Russia,"khakassia, zabaykalsky krai, chita","Repulic, federal subject , of russia",southern siberia,2015.0,1100000,12/04/2015,16/04/2015,,,EPSG:32612,
8,2016 fort mcmurray wildfire,Canada,fort mcmurray,Town,alberta,2016.0,589552,01/05/2016,31/05/2016,"[[-112.2747802734375,56.20975914792473],[-110.42358398437499,56.20975914792473],[-110.42358398437499,57.1302771818769],[-112.2747802734375,57.1302771818769],[-112.2747802734375,56.20975914792473]]","[56.69545799260797,-111.37939453125]",EPSG:32612,This fire was over the span of one month from 02/05/2016 to 31/05/2016 and it happend in the state of of Alberta in canda
9,Kamloops fire,Canada,Kamloops,city,british columbia,2017.0,191865,06/07/2017,,"[[-121.5087890625,50.014799234787844],[-119.3115234375,50.014799234787844],[-119.3115234375,51.45400691005982],[-121.5087890625,51.45400691005982],[-121.5087890625,50.014799234787844]]","[50.65294336725709,-120.33325195312499]",EPSG:32612,
10,Cariboo fire,Canada,Riske Creek,ranching,british columbia,2017.0,239298,07/07/2017,,"[[-123.1622314453125,51.582189932691456],[-121.88232421875,51.582189932691456],[-121.88232421875,52.29336245546883],[-123.1622314453125,52.29336245546883],[-123.1622314453125,51.582189932691456]]","[51.93071827931289,-122.56072998046875]",EPSG:32612,
11,Plateau Complex Fire,Canada,,,british columbia,2017.0,521012,07/07/2017,15/09/2017,"[[-125.09033203124999,51.84595933666335],[-122.40966796874999,51.84595933666335],[-122.40966796874999,53.40298249424814],[-125.09033203124999,53.40298249424814],[-125.09033203124999,51.84595933666335]]","[52.77618568896171,-123.73352050781249]",EPSG:32612,
12,2017 alberta fires,Canada,,,"alberta,saskatchewan",2017.0,,,,,,EPSG:32612,
13,2018 russian wildfires,Russia,,,siberia,2018.0,321000,01/07/2018,,,,EPSG:32612,
14,Tweedsmuir Complex fire,Canada,"Klinaklini Lake, Tesla Lake, Ramsey Creek, Dean River, Pondosy Bay, Monarch Mountain, Wilderness Lake",,british columbia,2018.0,"301,549",08/08/2018,14/09/2018,"[[232.34985351562503,52.261433597272294],[234.45922851562497,52.261433597272294],[234.45922851562497,53.54683559190011],[232.34985351562503,53.54683559190011],[232.34985351562503,52.261433597272294]]","[52.90227586168308,233.27270507812497]",EPSG:32612,
15,Johnny Creek Fire,Canada,Johnny Creek,creek,british columbia,2018.0,"156,775",01/08/2018,25/08/2018,"[[-128.89709472656247,59.21531159041328],[ -127.67761230468749, 59.21531159041328],[-127.67761230468749,59.734253447591364],[-128.89709472656247,59.734253447591364],[-128.89709472656247,59.21531159041328]]","[59.41993301322722,-128.4796142578125]",EPSG:32612,
16,Alkali Lake Complex fire,Canada,Alkali Lake Complex,lake,british columbia,2018.0,"121,215",01/08/2019,15/08/2018,"[[-131.59423828124997,57.657157596582984],[-130.1165771484375,57.657157596582984],[-130.1165771484375,58.321029869251966],[-131.59423828124997,58.321029869251966],[-131.59423828124997,57.657157596582984]]","[58.013917869866205,-130.880126953125]",EPSG:32612,
17,Lutz Creek Complex fire,Canada,Lutz Creek Complex,creek,british columbia,2018.0,"100,799",04/08/2019,14/09/2018,"[[-129.3365478515625,58.95850707383433],[ -126.9085693359375,58.95850707383433],[-126.9085693359375,60.05113162986575],[-129.3365478515625,60.05113162986575],[-129.3365478515625,58.95850707383433]]","[59.542672433646004,-128.2379150390625]",EPSG:32612,
18,Shovel Lake fire,Canada,Shovel Lake,lake,british columbia,2018.0,"92,412",27/07/2019,10/09/2018,"[[-125.83740234374999,53.855766703698954],[-124.2388916015625,53.855766703698954],[-124.2388916015625,54.71510205751832],[-125.83740234374999,54.71510205751832],[-125.83740234374999,53.855766703698954]]","[54.29729354239265,-124.98046874999999]",EPSG:32612,
19,Nadina Lake fire,Canada,Nadina Lake,lake,british columbia,2018.0,"86,767",31/07/2019,14/09/2018,"[[-127.90283203125,53.11381149316824],[-125.22216796875,53.11381149316824],[-125.22216796875,54.165650031996904],[-127.90283203125,54.165650031996904],[-127.90283203125,53.11381149316824]]","[53.88167850008248,-126.82067871093749]",EPSG:32612,
20,Chuckegg Creek,Canada,"High Level, Mackenzie County, Paddle Prairie",town,alberta,2019.0,"350,134",12/05/2019,22/10/2020,"[[-119.014892578125,57.645400667406605],[-115.59814453125001,57.645400667406605],[-115.59814453125001,59.226555635719215],[-119.014892578125,59.226555635719215],[-119.014892578125,57.645400667406605]]","[58.48220919993359,-117.42187500000001]",EPSG:32612,
21,Jackpot Creek,Canada,Mackenzie County,county,alberta,2019.0,"79,834",27/05/2019,22/10/2020,"[[-118.80615234374999,58.97832955834134],[-115.8343505859375,58.97832955834134],[-115.8343505859375,60.08676274626006],[-118.80615234374999,60.08676274626006],[-118.80615234374999,58.97832955834134]]","[59.57606945649408,-117.1746826171875]",EPSG:32612,
22,Krasnoyarsk kai fires,Russia,Krasnoyarsk kai,federal subject of Russia,siberia,2019.0,"844,771",01/07/2019,,"[[90.15380859375,55.71473455012689],[103.53515625,55.71473455012689],[103.53515625,61.079544234557304],[90.15380859375,61.079544234557304],[90.15380859375,55.71473455012689]]","[58.63121664342478,98.23974609375,]",EPSG:32612,
23,zabaykalsky krai fires,Russia,zabaykalsky krai,federal subject of Russia ,siberia,2019.0,,01/07/2019,,"[[107.57812499999999,48.28319289548349],[123.1787109375,48.28319289548349],[123.1787109375,60.823494332539646],[107.57812499999999,60.823494332539646],[107.57812499999999,48.28319289548349]]","[52.93539665862318,116.8505859375]",EPSG:32612,
24,sakha republic fires,Russia,sakha republic,republic of Russia,siberia,2019.0,"880,224",01/07/2019,,"[[105.29296874999999,55.07836723201515],[161.19140625,55.07836723201515],[161.19140625,73.72659470212253],[105.29296874999999,73.72659470212253],[105.29296874999999,55.07836723201515]]","[65.29346780107583,132.36328125]",EPSG:32612,
25,lytton creek fire,Canada,lytton,village,british columbia,2021.0,"83,740",30/06/2021,30/08/2021,"[[-122.10479736328125,49.809631563563094],[-120.89355468749999,49.809631563563094],[-120.89355468749999,50.43564131482271],[-122.10479736328125,50.43564131482271],[-122.10479736328125,49.809631563563094]]","[50.23013207778079,-121.58123016357422]",EPSG:32612,
26,Sparks Lake Fire,Canada,Sparks Lake,lake,british columbia,2021.0,"89,627",28/06/2021,05/09/2021,"[[ -120.9103775024414,50.87801906529986],[-120.78489303588867,50.87801906529986],[-120.78489303588867,50.94642310129002],[-120.9103775024414,50.94642310129002],[-120.9103775024414,50.87801906529986]]","[50.913424211321335,-120.84823608398436]",EPSG:32649,
27,McKay Creek Fire,Canada,McKay Creek,creek,british columbia,2021.0,"44,964",29/06/2021,01/09/2021,"[[-122.39318847656249,50.501199132933344],[-121.35772705078125,50.501199132933344],[-121.35772705078125,51.089722918116315],[ -122.39318847656249, 51.089722918116315],[-122.39318847656249,50.501199132933344]]","[50.84063582806037,-121.91253662109376]",EPSG:32649,
28,White Rock Lake Fire,Canada,"monte lake, kamloops",city,british columbia,2021.0,"81,483",13/07/2021,07/09/2021,"[[-120.53649902343749,50.245448494340785],[ -119.52987670898438,50.245448494340785],[ -119.52987670898438,50.78076029964647],[-120.53649902343749,50.78076029964647],[-120.53649902343749,50.245448494340785]]","[50.5055664226309,-119.85122680664061]",EPSG:32649,
29,Tremont Creek Fire,Canada,Tremont Creek,creek,british columbia,2021.0,"62,524",12/07/2021,26/08/2021,"[[-121.44287109374999,50.162824333817284],[-120.39093017578125,50.162824333817284],[-120.39093017578125,50.85624291019714],[-121.44287109374999,50.85624291019714],[-121.44287109374999,50.162824333817284]]","[50.65468471250644,-121.17095947265625]",EPSG:32649,
30,Flat Lake Fire,Canada,Flat Lake,lake,british columbia,2021.0,"74,194",08/07/2021,27/08/2021,"[[-121.74911499023438,51.29627609493991],[-121.18057250976562,51.29627609493991],[-121.18057250976562,51.64870258356996],[-121.74911499023438,51.64870258356996],[-121.74911499023438,51.29627609493991]]","[51.49420973579561,-121.52114868164061]",EPSG:32649,
31,yakutia fire,Russia,yakutia,Republic of russia,siberia,2021.0,572000,05/07/2021,23/08/2021,,,EPSG:32649,
32,yakutsk fire,Russia,yakutsk,city,siberia,2021.0,,05/07/2021,23/08/2021,"[[122.54150390625,58.938673187948304],[136.82373046875,58.938673187948304],[136.82373046875,64.8115572502203],[122.54150390625,64.8115572502203],[122.54150390625,58.938673187948304]]","[61.990587736204105,129.6826171875]",EPSG:32649,
33,,,,,,,,,,,,EPSG:32649,
